,train_loss,val_loss,train_acc,val_acc,val_f1,epochs
0,0.5213615012833396,0.6708203576303817,0.8223334942084942,0.8277027027027027,0.8274227688787185,0
1,0.3666442675591522,0.3988536387883328,0.8736124517374517,0.8935538360941587,0.8923650826661121,1
2,0.2705957188296157,0.2776308560089485,0.9051640926640927,0.9045608108108109,0.9034870683400129,2
3,0.22892347263877053,0.3970222614101461,0.9203064671814671,0.8893308631211857,0.8889188342616797,3
4,0.20274589573838622,0.5884329817333335,0.933246862934363,0.8699324324324325,0.8698112290691227,4
5,0.17362184785432308,0.6691542906132905,0.9365950772200772,0.8665268090671316,0.866381578194878,5
6,0.13841093104565516,0.3769488878220924,0.9520692567567568,0.8969594594594594,0.8967713787085516,6
7,0.1174748074916204,0.6968392637885503,0.956684362934363,0.8817567567567568,0.8816526610644257,7
8,0.08614284302441504,0.3921017418930156,0.9691421332046333,0.918918918918919,0.9186046511627908,8
9,0.0794607668979773,0.5045709390872838,0.9708313223938224,0.8978040540540541,0.8976884243961607,9
10,0.06692643750825114,0.5138275103841757,0.9750844594594594,0.9087837837837838,0.9086439456342668,10
11,0.041661992426589994,0.5043800895832278,0.9847972972972973,0.9155405405405406,0.9153950899114903,11
12,0.025189733353948435,0.6255252266403388,0.9911317567567568,0.9003378378378378,0.9002016071377505,12
13,0.0434497556051168,0.8179266217189867,0.9850084459459459,0.86990518744551,0.869764323050704,13
14,0.07459646359185737,0.4008768676108416,0.977165781853282,0.924831081081081,0.924226100386545,14
15,0.03741392765737515,0.5258872210476044,0.9866976351351351,0.918918918918919,0.9187327902543465,15
16,0.05965062906464457,0.43041633431975906,0.9815999034749036,0.9180470793374019,0.9174615345331456,16
17,0.09734443679675482,0.5568914871436317,0.973606418918919,0.9138513513513513,0.9135635325872058,17
18,0.04798843562192003,1.3119729435121692,0.9847972972972973,0.8233979947689625,0.8222555309933323,18
19,0.03192784247491278,0.47691288765368833,0.9919763513513513,0.9349662162162162,0.9345151956291223,19
20,0.01929064392065412,0.5610551286506077,0.9923986486486487,0.9256756756756757,0.9254632414010368,20
21,0.02734149020734948,0.7638741481578846,0.9911317567567568,0.9206081081081081,0.9204545454545454,21
22,0.05303555816195556,0.6606657647436215,0.987331081081081,0.9172297297297297,0.9169089147286822,22
23,0.048485026642516395,0.539161365924367,0.987964527027027,0.924831081081081,0.9245467047634609,23
24,0.015924137711992345,0.4916187522840088,0.9959881756756757,0.9349662162162162,0.934612217884141,24
25,0.007026704035079983,0.48239379519801895,0.9972550675675675,0.9434121621621622,0.9429729797789026,25
26,0.019120327039546726,0.49605722715323036,0.9934543918918919,0.9214527027027027,0.9209879398146985,26
27,0.03350773019152918,0.7970497506827222,0.9921875,0.924831081081081,0.9244878272687826,27
28,0.061787341510414595,0.776578987306739,0.9850084459459459,0.910472972972973,0.9102556395282263,28
29,0.04051833962518656,0.5532732729334384,0.9871199324324325,0.9324324324324325,0.9320243861796327,29
30,0.01852892298972988,0.6258331600965903,0.9938766891891891,0.9298986486486487,0.9296818211440804,30
31,0.007409059578338946,0.7630178218148531,0.9968327702702703,0.9231418918918919,0.9228219218347296,31
32,0.008822494224389275,1.1277573580879796,0.9976773648648649,0.9079391891891891,0.9078168418509122,32
33,0.020646072918255053,0.6160272271881387,0.9940878378378378,0.9273648648648649,0.927096709470305,33
34,0.021492246908190567,0.7529271689898057,0.9917652027027027,0.904506320836966,0.9043226201254666,34
35,0.0539881686099141,0.6917032937118485,0.9864261583011582,0.9315878378378378,0.9312894336611002,35
36,0.052695472193725834,0.7971584016608225,0.9862753378378378,0.9163578901482128,0.9158488085101797,36
37,0.058284741837297,1.1118378453271311,0.9869087837837838,0.8910472972972973,0.8909299475044044,37
38,0.03046289476073198,0.8407986454621882,0.9917652027027027,0.9214527027027027,0.9211697817138312,38
39,0.019332591973874432,1.12398906150279,0.9947212837837838,0.9036889712292938,0.9035504024990989,39
40,0.03735261256627836,0.9089603698497789,0.9938766891891891,0.9070673496076722,0.9069745164647885,40
41,0.005591415320659567,0.8067254943213098,0.9983108108108109,0.9281822144725371,0.9280302894749084,41
42,5.17550439287527e-05,0.8009113211033715,1.0,0.9281822144725371,0.9280302894749084,42
43,2.1084709246472404e-05,0.7988318993208137,1.0,0.9281822144725371,0.9280302894749084,43
44,1.6910617601965675e-05,0.7975837362322931,1.0,0.9281822144725371,0.9280302894749084,44
45,1.4244692684529448e-05,0.796693043140663,1.0,0.9281822144725371,0.9280302894749084,45
46,1.2330135852076171e-05,0.795993594905028,1.0,0.9281822144725371,0.9280302894749084,46
47,1.0863537745297836e-05,0.7954242203283954,1.0,0.9281822144725371,0.9280302894749084,47
48,9.690492631652324e-06,0.794929063682306,1.0,0.9281822144725371,0.9280302894749084,48
49,8.723915957697347e-06,0.794481315354288,1.0,0.9290268090671316,0.9288720538720538,49
